,alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
0,union-hall-brooklyn,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'musicvenues', 'title': 'Music Venues'}]","{'latitude': 40.67612, 'longitude': -73.98005}",(718) 638-4400,2200.368906414935,noujMiOizbAWyDw8LbiM8Q,https://s3-media1.fl.yelpcdn.com/bphoto/L5ESsG7fE_g-iGzQ0oe1Ow/o.jpg,False,"{'address1': '702 Union St', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11215', 'country': 'US', 'state': 'NY', 'display_address': ['702 Union St', 'Brooklyn, NY 11215']}",Union Hall,+17186384400,$$,4.0,630,[],https://www.yelp.com/biz/union-hall-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA
1,brooklyn-social-brooklyn,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","{'latitude': 40.6804466247559, 'longitude': -73.9944458007812}",(718) 858-7758,3315.5584223338615,10i1WmPDuDRqDEpqJDxmYA,https://s3-media2.fl.yelpcdn.com/bphoto/pLwwBqNlbgXj1jTIhAmHxw/o.jpg,False,"{'address1': '335 Smith St', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11231', 'country': 'US', 'state': 'NY', 'display_address': ['335 Smith St', 'Brooklyn, NY 11231']}",Brooklyn Social,+17188587758,$$,4.0,176,[],https://www.yelp.com/biz/brooklyn-social-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA
2,quarter-brooklyn,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","{'latitude': 40.6618799, 'longitude': -73.99314}",(718) 788-0989,2190.6145533300573,_5dovFoqS-xKkjSUTcIDVg,https://s3-media3.fl.yelpcdn.com/bphoto/lP0tx9fsMAkxyM_SU5kmxQ/o.jpg,False,"{'address1': '676 5th Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11215', 'country': 'US', 'state': 'NY', 'display_address': ['676 5th Ave', 'Brooklyn, NY 11215']}",Quarter,+17187880989,$$,4.0,86,[],https://www.yelp.com/biz/quarter-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA
3,lovers-rock-brooklyn,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","{'latitude': 40.6831, 'longitude': -73.9436}",(347) 915-0325,3374.634777907377,9eqUWk6BwV45k6NT6cX26Q,https://s3-media1.fl.yelpcdn.com/bphoto/-b6Mt4h4aRUyNfZ34Karvg/o.jpg,False,"{'address1': '419 Tompkins Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11216', 'country': 'US', 'state': 'NY', 'display_address': ['419 Tompkins Ave', 'Brooklyn, NY 11216']}",Lovers Rock,+13479150325,$$,4.0,90,[],https://www.yelp.com/biz/lovers-rock-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA
4,weather-up-brooklyn,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","{'latitude': 40.679866, 'longitude': -73.967758}",(212) 766-3202,2353.6924792606833,svYBY_pf7p2VezMyWZtKAg,https://s3-media2.fl.yelpcdn.com/bphoto/eAaD-rRqkA_JmrqW6epRWA/o.jpg,False,"{'address1': '589 Vanderbilt Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11238', 'country': 'US', 'state': 'NY', 'display_address': ['589 Vanderbilt Ave', 'Brooklyn, NY 11238']}",Weather Up,+12127663202,$$,4.0,280,[],https://www.yelp.com/biz/weather-up-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA
5,canal-bar-brooklyn,"[{'alias': 'divebars', 'title': 'Dive Bars'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","{'latitude': 40.6779403686523, 'longitude': -73.9859924316406}",(718) 246-0011,2642.3456775375294,uom3CGeQbQumn9XlvrXyLQ,https://s3-media1.fl.yelpcdn.com/bphoto/dro3B2HF2vdnk1_XO5-6ag/o.jpg,False,"{'address1': '270 3rd Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11215', 'country': 'US', 'state': 'NY', 'display_address': ['270 3rd Ave', 'Brooklyn, NY 11215']}",Canal Bar,+17182460011,$,4.0,90,[],https://www.yelp.com/biz/canal-bar-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA
6,barbès-brooklyn-2,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'jazzandblues', 'title': 'Jazz & Blues'}]","{'latitude': 40.667724609375, 'longitude': -73.9839019775391}",(347) 422-0248,1705.9569272618846,gY6aPkUcyltomwF6FrR9gw,https://s3-media4.fl.yelpcdn.com/bphoto/UoGCwzZYu9WNqAEyxTGCrw/o.jpg,False,"{'address1': '376 9th St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11215', 'country': 'US', 'state': 'NY', 'display_address': ['376 9th St', 'Brooklyn, NY 11215']}",Barbès,+13474220248,$$,4.0,166,[],https://www.yelp.com/biz/barb%C3%A8s-brooklyn-2?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA
7,the-evergreen-brooklyn,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'beerbar', 'title': 'Beer Bar'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","{'latitude': 40.686017, 'longitude': -73.908236}",(718) 484-7399,5852.863947897548,HsFv6pTnpIGya6Yf5ztn_g,https://s3-media3.fl.yelpcdn.com/bphoto/-5QovbDLLpm2QVFDDgXYTg/o.jpg,False,"{'address1': '109 Moffat St', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11207', 'country': 'US', 'state': 'NY', 'display_address': ['109 Moffat St', 'Brooklyn, NY 11207']}",The Evergreen,+17184847399,$,4.5,44,[],https://www.yelp.com/biz/the-evergreen-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA
8,the-westbury-inn-brooklyn,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'beerbar', 'title': 'Beer Bar'}]","{'latitude': 40.6568219822565, 'longitude': -73.9599666371942}",(929) 210-8472,670.6675788538306,F3kbLGkAc9pNn8O_AElzbg,https://s3-media1.fl.yelpcdn.com/bphoto/n4Lfnf98TcPj2OwVjO9xTA/o.jpg,False,"{'address1': '673 Flatbush Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11225', 'country': 'US', 'state': 'NY', 'display_address': ['673 Flatbush Ave', 'Brooklyn, NY 11225']}",The Westbury Inn,+19292108472,$$,4.0,72,"['pickup', 'delivery']",https://www.yelp.com/biz/the-westbury-inn-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA
9,cardiff-giant-brooklyn,"[{'alias': 'bars', 'title': 'Bars'}]","{'latitude': 40.693332, 'longitude': -73.969223}",(929) 337-7873,3848.727338440735,XyulGZ5P9VhtNcK7zN2R9g,https://s3-media1.fl.yelpcdn.com/bphoto/cn199X_pBL1fn2CYeTA1eA/o.jpg,False,"{'address1': '415 Myrtle Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11205', 'country': 'US', 'state': 'NY', 'display_address': ['415 Myrtle Ave', 'Brooklyn, NY 11205']}",Cardiff Giant,+19293377873,$$,4.0,42,[],https://www.yelp.com/biz/cardiff-giant-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA
