,alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
0,coffee-rx-brooklyn,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bakeries', 'title': 'Bakeries'}]","{'latitude': 40.6354921703071, 'longitude': -74.0259379148483}",(646) 820-8095,5564.692837618543,kKdRGgLdzF-OCSpIftOTAA,https://s3-media2.fl.yelpcdn.com/bphoto/dD-5SnZ8sj_0xhKwLDVKSQ/o.jpg,False,"{'address1': '6903 3rd Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11209', 'country': 'US', 'state': 'NY', 'display_address': ['6903 3rd Ave', 'Brooklyn, NY 11209']}",Coffee Rx,+16468208095,$$,4.5,240,[],https://www.yelp.com/biz/coffee-rx-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA
1,charter-coffeehouse-brooklyn,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'hair', 'title': 'Hair Salons'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 40.713329, 'longitude': -73.944478}",(347) 721-3735,6375.497874756254,WkFRexZCg0nCSlGtRDyyTQ,https://s3-media2.fl.yelpcdn.com/bphoto/CmkjHjKS_bu87C7fpIBCNg/o.jpg,False,"{'address1': '309 Graham Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11211', 'country': 'US', 'state': 'NY', 'display_address': ['309 Graham Ave', 'Brooklyn, NY 11211']}",Charter Coffeehouse,+13477213735,$,4.5,77,"['delivery', 'pickup']",https://www.yelp.com/biz/charter-coffeehouse-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA
2,black-gold-records-brooklyn,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'vinyl_records', 'title': 'Vinyl Records'}, {'alias': 'antiques', 'title': 'Antiques'}]","{'latitude': 40.677265, 'longitude': -73.998102}",(347) 227-8227,3302.8019752836663,ge6Ua-GlpBW5PSf4pabhpQ,https://s3-media3.fl.yelpcdn.com/bphoto/pzowm5y8Y1fU9C8mhbjw9w/o.jpg,False,"{'address1': '461 Court St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11231', 'country': 'US', 'state': 'NY', 'display_address': ['461 Court St', 'Brooklyn, NY 11231']}",Black Gold Records,+13472278227,$$,4.5,91,[],https://www.yelp.com/biz/black-gold-records-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA
3,slimak-brooklyn-3,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 40.65143, 'longitude': -74.00787}",(347) 689-3332,3492.341727379189,ED1MeTxK9dohGPA6DKslQw,https://s3-media3.fl.yelpcdn.com/bphoto/-cB-jH8ateuF8i-w9aEvRg/o.jpg,False,"{'address1': '4110 4th Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11232', 'country': 'US', 'state': 'NY', 'display_address': ['4110 4th Ave', 'Brooklyn, NY 11232']}",Slimak,+13476893332,$$,4.5,126,"['delivery', 'pickup']",https://www.yelp.com/biz/slimak-brooklyn-3?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA
4,baba-cool-brooklyn,"[{'alias': 'vegetarian', 'title': 'Vegetarian'}, {'alias': 'beer_and_wine', 'title': 'Beer, Wine & Spirits'}, {'alias': 'cafes', 'title': 'Cafes'}]","{'latitude': 40.68701, 'longitude': -73.97537}",(347) 689-2344,3211.846471868498,wXiIxbnFRaFBS9RI4wJrdw,https://s3-media1.fl.yelpcdn.com/bphoto/M9PFecDGXvx6SxqYIPWePQ/o.jpg,False,"{'address1': '64 Lafayette Ave', 'address2': 'Ste B', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11217', 'country': 'US', 'state': 'NY', 'display_address': ['64 Lafayette Ave', 'Ste B', 'Brooklyn, NY 11217']}",Baba Cool,+13476892344,$$,4.0,150,"['delivery', 'pickup']",https://www.yelp.com/biz/baba-cool-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA
5,cafe-cotton-bean-brooklyn,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'cafes', 'title': 'Cafes'}]","{'latitude': 40.676365, 'longitude': -73.950414}",,2434.191646053895,y87gSIb-uD49myJS3I8Lqw,https://s3-media4.fl.yelpcdn.com/bphoto/0A1IWVo47-TVxKOU7gs4Wg/o.jpg,False,"{'address1': '1077 Bergen St', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11216', 'country': 'US', 'state': 'NY', 'display_address': ['1077 Bergen St', 'Brooklyn, NY 11216']}",Cafe Cotton Bean,,$,4.5,58,[],https://www.yelp.com/biz/cafe-cotton-bean-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA
6,dweebs-brooklyn,"[{'alias': 'cafes', 'title': 'Cafes'}]","{'latitude': 40.7003712484126, 'longitude': -73.9228504315857}",(347) 413-5272,5969.650680971261,pQkzgYnGnNzdCWriyGlfdg,https://s3-media2.fl.yelpcdn.com/bphoto/lKJeQmtWxgZctFuU2v30Ow/o.jpg,False,"{'address1': '1434 Dekalb Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11237', 'country': 'US', 'state': 'NY', 'display_address': ['1434 Dekalb Ave', 'Brooklyn, NY 11237']}",Dweebs,+13474135272,$,4.5,74,[],https://www.yelp.com/biz/dweebs-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA
7,judys-brooklyn,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'cafes', 'title': 'Cafes'}]","{'latitude': 40.65033, 'longitude': -74.00508}",(929) 337-6252,3302.877086501813,DogJot30xkGTW95kXUM7iQ,https://s3-media2.fl.yelpcdn.com/bphoto/w9J4BFldcMdYzuj0_0LKtw/o.jpg,False,"{'address1': '4022 5th Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11232', 'country': 'US', 'state': 'NY', 'display_address': ['4022 5th Ave', 'Brooklyn, NY 11232']}",Judy's,+19293376252,,5.0,12,[],https://www.yelp.com/biz/judys-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA
8,polo-caffe-brooklyn,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]","{'latitude': 40.6661905678325, 'longitude': -73.9787869843213}",(347) 987-4790,1252.1222237676839,5NNAOZhKZ2Wjy2rL9DNaTA,https://s3-media1.fl.yelpcdn.com/bphoto/BW2M9XGvoJRVPwAZyEXINA/o.jpg,False,"{'address1': '803 8th Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11215', 'country': 'US', 'state': 'NY', 'display_address': ['803 8th Ave', 'Brooklyn, NY 11215']}",Polo Caffe,+13479874790,,4.0,37,[],https://www.yelp.com/biz/polo-caffe-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA
9,orso-coffee-brooklyn,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 40.5849900364308, 'longitude': -73.9511498808861}",(718) 484-9250,8313.734361847986,R1VKt0kDto8bbjn5myEU8w,https://s3-media3.fl.yelpcdn.com/bphoto/UKd2nH4hVup6BYvt5NPqgA/o.jpg,False,"{'address1': '1745 Sheepshead Bay Rd', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11235', 'country': 'US', 'state': 'NY', 'display_address': ['1745 Sheepshead Bay Rd', 'Brooklyn, NY 11235']}",Orso Coffee,+17184849250,$,4.0,110,[],https://www.yelp.com/biz/orso-coffee-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA
