,alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
0,to-the-world-farm-brooklyn,"[{'alias': 'grocery', 'title': 'Grocery'}, {'alias': 'markets', 'title': 'Fruits & Veggies'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}]","{'latitude': 40.711646, 'longitude': -73.946141}",(718) 218-8120,6155.016263202125,UtPqUD2FSEef4p-j6HqPaw,https://s3-media4.fl.yelpcdn.com/bphoto/cD2MzwoYIW1Y1VxahfLUuw/o.jpg,False,"{'address1': '655 Grand St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11211', 'country': 'US', 'state': 'NY', 'display_address': ['655 Grand St', 'Brooklyn, NY 11211']}",To The World Farm,+17182188120,$,5.0,103,[],https://www.yelp.com/biz/to-the-world-farm-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA
1,the-bad-wife-brooklyn,"[{'alias': 'grocery', 'title': 'Grocery'}]","{'latitude': 40.66545965971, 'longitude': -73.9829783558987}",(718) 499-7513,1504.4366271268905,t1jNXLfe6TwY6GGM4AzIRA,https://s3-media4.fl.yelpcdn.com/bphoto/9klyzkVHV1e6dZk4gbbg2A/o.jpg,False,"{'address1': '378 7th Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11215', 'country': 'US', 'state': 'NY', 'display_address': ['378 7th Ave', 'Brooklyn, NY 11215']}",The Bad Wife,+17184997513,$$,4.5,26,[],https://www.yelp.com/biz/the-bad-wife-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA
2,trader-joes-brooklyn,"[{'alias': 'grocery', 'title': 'Grocery'}]","{'latitude': 40.6895284, 'longitude': -73.9926484}",(718) 246-8460,4028.6282325787224,QcN1dhSjxrDDMU4BuDYdCg,https://s3-media4.fl.yelpcdn.com/bphoto/ulwZ3zqJCBRa4f1jd_6HbQ/o.jpg,False,"{'address1': '130 Court St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['130 Court St', 'Brooklyn, NY 11201']}",Trader Joe's,+17182468460,$$,4.0,659,[],https://www.yelp.com/biz/trader-joes-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA
3,brooklyn-fare-brooklyn,"[{'alias': 'grocery', 'title': 'Grocery'}]","{'latitude': 40.688855, 'longitude': -73.986158}",(718) 243-0050,3701.5666276434827,Jrbo7gMqeZKPfp5LKO3nUg,https://s3-media1.fl.yelpcdn.com/bphoto/fOdfC-qc9m_iSEo2LhIHJA/o.jpg,False,"{'address1': '200 Schermerhorn St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['200 Schermerhorn St', 'Brooklyn, NY 11201']}",Brooklyn Fare,+17182430050,$$$,4.0,222,[],https://www.yelp.com/biz/brooklyn-fare-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA
4,lincoln-market-brooklyn,"[{'alias': 'grocery', 'title': 'Grocery'}]","{'latitude': 40.6607924357887, 'longitude': -73.9616953020749}",,542.3003284157314,jmYYV9o99jNMP7aGIRtZ7g,https://s3-media3.fl.yelpcdn.com/bphoto/slIznHX8ehDmILdt12XXBQ/o.jpg,False,"{'address1': '33 Lincoln Rd', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11225', 'country': 'US', 'state': 'NY', 'display_address': ['33 Lincoln Rd', 'Brooklyn, NY 11225']}",Lincoln Market,,$$,4.0,24,[],https://www.yelp.com/biz/lincoln-market-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA
5,prospect-market-brooklyn,"[{'alias': 'grocery', 'title': 'Grocery'}]","{'latitude': 40.65958, 'longitude': -73.98143}",(718) 788-9104,1172.7969136169622,KINsMB4phLg-3AQKiiif1A,https://s3-media1.fl.yelpcdn.com/bphoto/uVGRcqXIKAWE2cFamxznpQ/o.jpg,False,"{'address1': '236 Prospect Park W', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11215', 'country': 'US', 'state': 'NY', 'display_address': ['236 Prospect Park W', 'Brooklyn, NY 11215']}",Prospect Market,+17187889104,,3.5,10,[],https://www.yelp.com/biz/prospect-market-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA
6,windsor-farms-market-brooklyn,"[{'alias': 'grocery', 'title': 'Grocery'}]","{'latitude': 40.6564709796673, 'longitude': -73.9778998866677}",(718) 788-0323,911.0353536846411,9WJbpdRAAXvtwOQydvf2WA,https://s3-media4.fl.yelpcdn.com/bphoto/fmw_0lye3zscOn_XfH5t7A/o.jpg,False,"{'address1': '589 Prospect Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11215', 'country': 'US', 'state': 'NY', 'display_address': ['589 Prospect Ave', 'Brooklyn, NY 11215']}",Windsor Farms Market,+17187880323,$$,3.0,39,[],https://www.yelp.com/biz/windsor-farms-market-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA
7,trader-joes-brooklyn-2,"[{'alias': 'grocery', 'title': 'Grocery'}]","{'latitude': 40.69085, 'longitude': -73.98329}",(718) 243-0107,3816.4150135321156,drlRWaOmgOGLmzV20z0hDg,https://s3-media1.fl.yelpcdn.com/bphoto/qyq_GAq4HU8X39w9w3BVig/o.jpg,False,"{'address1': '445 Gold St', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['445 Gold St', 'Brooklyn, NY 11201']}",Trader Joe's,+17182430107,$$,4.5,106,[],https://www.yelp.com/biz/trader-joes-brooklyn-2?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA
8,galafresh-farms-brooklyn,"[{'alias': 'grocery', 'title': 'Grocery'}, {'alias': 'beer_and_wine', 'title': 'Beer, Wine & Spirits'}, {'alias': 'healthmarkets', 'title': 'Health Markets'}]","{'latitude': 40.67609, 'longitude': -73.9584}",(718) 789-2151,2092.920841677336,c0oJ3dxW3SGmHJU1gVmXYg,https://s3-media4.fl.yelpcdn.com/bphoto/XSTa71tPaBAZ45-rX_gBSA/o.jpg,False,"{'address1': '492 St Marks Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11238', 'country': 'US', 'state': 'NY', 'display_address': ['492 St Marks Ave', 'Brooklyn, NY 11238']}",GalaFresh Farms,+17187892151,$$,3.5,83,[],https://www.yelp.com/biz/galafresh-farms-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA
9,foodtown-brooklyn-7,"[{'alias': 'grocery', 'title': 'Grocery'}]","{'latitude': 40.6771699, 'longitude': -73.96941}",(718) 783-1887,2069.4124570724484,4DSePzVB7gaGX5pM0MMMig,https://s3-media3.fl.yelpcdn.com/bphoto/ZUEh3gpl_u_eTPu8vDvKAg/o.jpg,False,"{'address1': '632 Vanderbilt Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11238', 'country': 'US', 'state': 'NY', 'display_address': ['632 Vanderbilt Ave', 'Brooklyn, NY 11238']}",Foodtown,+17187831887,$$,3.5,19,[],https://www.yelp.com/biz/foodtown-brooklyn-7?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA
