,alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url,hot_and_new
0,the-fly-brooklyn,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'chickenshop', 'title': 'Chicken Shop'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","{'latitude': 40.68191, 'longitude': -73.95848}",(347) 405-5300,2693.3367055455046,ki4hgtRa7fWcEpBu0cyM4A,https://s3-media1.fl.yelpcdn.com/bphoto/5fMH4M0rylh6YvpoYAznsQ/o.jpg,False,"{'address1': '549 Classon Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11216', 'country': 'US', 'state': 'NY', 'display_address': ['549 Classon Ave', 'Brooklyn, NY 11216']}",The Fly,+13474055300,,4.0,3,[],https://www.yelp.com/biz/the-fly-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,yes
1,dock-asian-eatery-brooklyn-4,"[{'alias': 'ramen', 'title': 'Ramen'}, {'alias': 'thai', 'title': 'Thai'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]","{'latitude': 40.70628, 'longitude': -73.92274}",(718) 821-3900,6497.959708729342,qd9_gxrmskbOT6OLN9sShA,https://s3-media1.fl.yelpcdn.com/bphoto/xVAgk4_xzxlYouDWe3YPSQ/o.jpg,False,"{'address1': '22 Wyckoff Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11237', 'country': 'US', 'state': 'NY', 'display_address': ['22 Wyckoff Ave', 'Brooklyn, NY 11237']}",Dock Asian Eatery,+17188213900,$$,4.5,29,"['pickup', 'delivery', 'restaurant_reservation']",https://www.yelp.com/biz/dock-asian-eatery-brooklyn-4?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,yes
2,mad-for-chicken-williamsburg-brooklyn,"[{'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}, {'alias': 'korean', 'title': 'Korean'}]","{'latitude': 40.71142, 'longitude': -73.94751}",(917) 909-1353,6102.929749602227,P0OilvtjGnUQgf7hFzEgcg,https://s3-media3.fl.yelpcdn.com/bphoto/s-beb0mMnFwCSgGnj61vfw/o.jpg,False,"{'address1': '617 Grand St', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11211', 'country': 'US', 'state': 'NY', 'display_address': ['617 Grand St', 'Brooklyn, NY 11211']}",Mad For Chicken Williamsburg,+19179091353,,5.0,5,[],https://www.yelp.com/biz/mad-for-chicken-williamsburg-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,yes
3,haenyeo-brooklyn,"[{'alias': 'korean', 'title': 'Korean'}]","{'latitude': 40.67519, 'longitude': -73.98116}",(347) 294-4159,2158.8100321040256,0U9uW93o9DUnAP7r-76LVg,https://s3-media4.fl.yelpcdn.com/bphoto/zG9Oy4AnIh4botSp4kBNhw/o.jpg,False,"{'address1': '239 5th Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11215', 'country': 'US', 'state': 'NY', 'display_address': ['239 5th Ave', 'Brooklyn, NY 11215']}",Haenyeo,+13472944159,,4.5,26,"['delivery', 'pickup']",https://www.yelp.com/biz/haenyeo-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,yes
4,cava-brooklyn-3,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}]","{'latitude': 40.69288, 'longitude': -73.98859}",(929) 296-7809,4162.051142723058,TQva_biHxS_lTgYDi52BlQ,https://s3-media1.fl.yelpcdn.com/bphoto/T0l0zGQwyhKCx-k_KwfTLw/o.jpg,False,"{'address1': '345 Adams St', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['345 Adams St', 'Brooklyn, NY 11201']}",CAVA,+19292967809,,4.5,7,[],https://www.yelp.com/biz/cava-brooklyn-3?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,yes
5,xiang-hotpot-brooklyn-brooklyn,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'hotpot', 'title': 'Hot Pot'}]","{'latitude': 40.6339, 'longitude': -74.00467}",(718) 851-5888,4196.233042074586,S0CYlCpjRfq13k2qz06DHw,https://s3-media4.fl.yelpcdn.com/bphoto/xBzlEbIchLCNeC80tTCGbA/o.jpg,False,"{'address1': '5816 Fort Hamilton Pkwy', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11219', 'country': 'US', 'state': 'NY', 'display_address': ['5816 Fort Hamilton Pkwy', 'Brooklyn, NY 11219']}",Xiang Hotpot-Brooklyn,+17188515888,$$$,4.0,12,[],https://www.yelp.com/biz/xiang-hotpot-brooklyn-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,yes
6,teo-brooklyn-5,"[{'alias': 'izakaya', 'title': 'Izakaya'}]","{'latitude': 40.70783, 'longitude': -73.92068}",(347) 627-6156,6767.150435153948,GnngU5X-RbmrWK1zM-_kxw,https://s3-media3.fl.yelpcdn.com/bphoto/FEvmCtuZ6A3kjs23fe-ITA/o.jpg,False,"{'address1': '321 Starr St', 'address2': None, 'address3': None, 'city': 'Brooklyn', 'zip_code': '11237', 'country': 'US', 'state': 'NY', 'display_address': ['321 Starr St', 'Brooklyn, NY 11237']}",Teo,+13476276156,,4.5,20,[],https://www.yelp.com/biz/teo-brooklyn-5?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,yes
7,hanon-brooklyn,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]","{'latitude': 40.7134488, 'longitude': -73.9513445}",(347) 799-1433,6236.5854009792765,FYWwW5lcxKzaA98Xgw8bqA,https://s3-media3.fl.yelpcdn.com/bphoto/maQA7KJw-v4aNvjB0AvrAA/o.jpg,False,"{'address1': '436 Union Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11211', 'country': 'US', 'state': 'NY', 'display_address': ['436 Union Ave', 'Brooklyn, NY 11211']}",hanon,+13477991433,,4.5,18,[],https://www.yelp.com/biz/hanon-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,yes
8,russ-and-daughters-at-the-brooklyn-navy-yard-brooklyn,"[{'alias': 'bagels', 'title': 'Bagels'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'delis', 'title': 'Delis'}]","{'latitude': 40.69799, 'longitude': -73.97116}",(212) 475-4880,4440.542533949997,PWDSfW-c8198UegLtaTR1A,https://s3-media1.fl.yelpcdn.com/bphoto/Lwz2HCyNeGJUB4MOCBIang/o.jpg,False,"{'address1': '141 Flushing Ave', 'address2': 'Bldg 77', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11205', 'country': 'US', 'state': 'NY', 'display_address': ['141 Flushing Ave', 'Bldg 77', 'Brooklyn, NY 11205']}",Russ & Daughters at the Brooklyn Navy Yard,+12124754880,,3.0,10,[],https://www.yelp.com/biz/russ-and-daughters-at-the-brooklyn-navy-yard-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,yes
9,santa-fe-veracruzano-brooklyn,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]","{'latitude': 40.67562, 'longitude': -73.97484}",(347) 799-1178,1983.7663940131958,sBB4HcSqtHIltwYYhMVb0g,https://s3-media2.fl.yelpcdn.com/bphoto/tT0k5lCpifof34plygBZNw/o.jpg,False,"{'address1': '62 7th Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11217', 'country': 'US', 'state': 'NY', 'display_address': ['62 7th Ave', 'Brooklyn, NY 11217']}",Santa Fe Veracruzano,+13477991178,,5.0,18,"['delivery', 'pickup']",https://www.yelp.com/biz/santa-fe-veracruzano-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,yes
