,alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
0,uglyduckling-brooklyn,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}]","{'latitude': 40.686023, 'longitude': -73.991302}",(718) 451-3825,3639.065907134607,CwOAKJdX8AMz5iAoA-ZEuA,https://s3-media2.fl.yelpcdn.com/bphoto/zo96XEmO2i-KtBs0_5pQyA/o.jpg,False,"{'address1': '166 Smith St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['166 Smith St', 'Brooklyn, NY 11201']}",Uglyduckling,+17184513825,$$,4.0,428,"['pickup', 'restaurant_reservation', 'delivery']",https://www.yelp.com/biz/uglyduckling-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA
1,hometown-bar-b-que-brooklyn-3,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'smokehouse', 'title': 'Smokehouse'}]","{'latitude': 40.6748965703426, 'longitude': -74.0160489746129}",(347) 294-4644,4471.397163740787,Ms3CAGddVbgetiQrpzqxPQ,https://s3-media2.fl.yelpcdn.com/bphoto/Eo9NJvaF8j9HLa0GX9yNUA/o.jpg,False,"{'address1': '454 Van Brunt St', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11231', 'country': 'US', 'state': 'NY', 'display_address': ['454 Van Brunt St', 'Brooklyn, NY 11231']}",Hometown Bar-B-Que,+13472944644,$$,4.0,1171,[],https://www.yelp.com/biz/hometown-bar-b-que-brooklyn-3?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA
2,the-fly-brooklyn,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'chickenshop', 'title': 'Chicken Shop'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","{'latitude': 40.68191, 'longitude': -73.95848}",(347) 405-5300,2693.3367055455046,ki4hgtRa7fWcEpBu0cyM4A,https://s3-media1.fl.yelpcdn.com/bphoto/5fMH4M0rylh6YvpoYAznsQ/o.jpg,False,"{'address1': '549 Classon Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11216', 'country': 'US', 'state': 'NY', 'display_address': ['549 Classon Ave', 'Brooklyn, NY 11216']}",The Fly,+13474055300,,4.0,3,[],https://www.yelp.com/biz/the-fly-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA
3,peter-luger-brooklyn-2,"[{'alias': 'steak', 'title': 'Steakhouses'}]","{'latitude': 40.709945, 'longitude': -73.962478}",(718) 387-7400,5711.937381508804,4yPqqJDJOQX69gC66YUDkA,https://s3-media2.fl.yelpcdn.com/bphoto/DnReRUkXRtsmKycQEYl0pg/o.jpg,False,"{'address1': '178 Broadway', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11211', 'country': 'US', 'state': 'NY', 'display_address': ['178 Broadway', 'Brooklyn, NY 11211']}",Peter Luger,+17183877400,$$$$,4.0,5243,[],https://www.yelp.com/biz/peter-luger-brooklyn-2?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA
4,julianas-pizza-brooklyn-5,"[{'alias': 'pizza', 'title': 'Pizza'}]","{'latitude': 40.7026153030093, 'longitude': -73.9934159993549}",(718) 596-6700,5347.510145414778,ysqgdbSrezXgVwER2kQWKA,https://s3-media1.fl.yelpcdn.com/bphoto/7JtwTxhWHf3YS70Ss_CfxA/o.jpg,False,"{'address1': '19 Old Fulton St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['19 Old Fulton St', 'Brooklyn, NY 11201']}",Juliana's Pizza,+17185966700,$$,4.5,1910,[],https://www.yelp.com/biz/julianas-pizza-brooklyn-5?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA
5,soco-brooklyn,"[{'alias': 'cajun', 'title': 'Cajun/Creole'}, {'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'soulfood', 'title': 'Soul Food'}]","{'latitude': 40.693866, 'longitude': -73.964535}",(718) 783-1936,3916.2959114997266,oOsJn3leUnWDfErRWMf81g,https://s3-media4.fl.yelpcdn.com/bphoto/nLKKfPQU7t6wiZ0f-pQFDg/o.jpg,False,"{'address1': '509 Myrtle Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11205', 'country': 'US', 'state': 'NY', 'display_address': ['509 Myrtle Ave', 'Brooklyn, NY 11205']}",Soco,+17187831936,$$,4.0,1943,['pickup'],https://www.yelp.com/biz/soco-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA
6,mariella-brooklyn,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'gluten_free', 'title': 'Gluten-Free'}, {'alias': 'salad', 'title': 'Salad'}]","{'latitude': 40.6662419, 'longitude': -73.985749}",(718) 499-2132,1750.8730992605138,5V4cUVikPN8ALWXBVdjltw,https://s3-media4.fl.yelpcdn.com/bphoto/8x2azc9SIC17czm8LjgKnA/o.jpg,False,"{'address1': '492 6th Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11215', 'country': 'US', 'state': 'NY', 'display_address': ['492 6th Ave', 'Brooklyn, NY 11215']}",Mariella,+17184992132,$$,4.5,292,['pickup'],https://www.yelp.com/biz/mariella-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA
7,silver-factory-brooklyn,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'bars', 'title': 'Bars'}]","{'latitude': 40.709227, 'longitude': -73.958598}",(347) 725-3017,5671.604338856299,L7_siqDfU4-ZA17YtA-SBg,https://s3-media2.fl.yelpcdn.com/bphoto/jTUCcGJiZZPLlEmx0EHgXg/o.jpg,False,"{'address1': '270 South 5th St', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11211', 'country': 'US', 'state': 'NY', 'display_address': ['270 South 5th St', 'Brooklyn, NY 11211']}",Silver Factory,+13477253017,$$,4.5,142,"['pickup', 'restaurant_reservation', 'delivery']",https://www.yelp.com/biz/silver-factory-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA
8,mominette-brooklyn,"[{'alias': 'french', 'title': 'French'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'seafood', 'title': 'Seafood'}]","{'latitude': 40.7032458, 'longitude': -73.9258954}",(929) 234-2941,6068.851517765415,49ST--X1jcIPzUIM1O3K6w,https://s3-media2.fl.yelpcdn.com/bphoto/5SZC3lRRphWbyVrcrArxcg/o.jpg,False,"{'address1': '221 Knickerbocker Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11237', 'country': 'US', 'state': 'NY', 'display_address': ['221 Knickerbocker Ave', 'Brooklyn, NY 11237']}",Mominette,+19292342941,$$,4.0,581,"['pickup', 'restaurant_reservation']",https://www.yelp.com/biz/mominette-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA
9,peaches-hothouse-brooklyn,"[{'alias': 'southern', 'title': 'Southern'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'bars', 'title': 'Bars'}]","{'latitude': 40.6833699737169, 'longitude': -73.9437798410654}",(718) 483-9111,3394.1834786433224,GA5msU6NO9rQRctPfDJCBg,https://s3-media1.fl.yelpcdn.com/bphoto/KEAXgZGetzDf_pc4kse_mw/o.jpg,False,"{'address1': '415 Tompkins Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11216', 'country': 'US', 'state': 'NY', 'display_address': ['415 Tompkins Ave', 'Brooklyn, NY 11216']}",Peaches HotHouse,+17184839111,$$,4.0,1030,"['pickup', 'delivery']",https://www.yelp.com/biz/peaches-hothouse-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA
10,bricolage-brooklyn,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","{'latitude': 40.67792, 'longitude': -73.97975}",(718) 230-1835,2369.8631113238334,KJFosOrLotvQo_rntg0sjA,https://s3-media3.fl.yelpcdn.com/bphoto/iT9LJUjljyRSfD_Bfgvjbg/o.jpg,False,"{'address1': '162 5th Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11217', 'country': 'US', 'state': 'NY', 'display_address': ['162 5th Ave', 'Brooklyn, NY 11217']}",Bricolage,+17182301835,$$,4.0,402,['restaurant_reservation'],https://www.yelp.com/biz/bricolage-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA
11,salt-charcoal-brooklyn,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'steak', 'title': 'Steakhouses'}]","{'latitude': 40.71453, 'longitude': -73.9613511}",(718) 782-2087,6227.676873229075,m1cJLpDN4B-_0hGgPfe5OA,https://s3-media3.fl.yelpcdn.com/bphoto/RDtbfJjYqtdpaKvTrRhh2A/o.jpg,False,"{'address1': '171 Grand St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11249', 'country': 'US', 'state': 'NY', 'display_address': ['171 Grand St', 'Brooklyn, NY 11249']}",Salt + Charcoal,+17187822087,$$,4.0,329,"['pickup', 'restaurant_reservation', 'delivery']",https://www.yelp.com/biz/salt-charcoal-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA
