,categories,coordinates,display_phone,is_closed,location,name,phone,price,rating,review_count,transactions,hot_and_new
0,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}]","{'latitude': 40.686023, 'longitude': -73.991302}",(718) 451-3825,False,"{'address1': '166 Smith St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['166 Smith St', 'Brooklyn, NY 11201']}",Uglyduckling,17184513825.0,$$,4.0,428,"['pickup', 'restaurant_reservation', 'delivery']",
1,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'smokehouse', 'title': 'Smokehouse'}]","{'latitude': 40.6748965703426, 'longitude': -74.0160489746129}",(347) 294-4644,False,"{'address1': '454 Van Brunt St', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11231', 'country': 'US', 'state': 'NY', 'display_address': ['454 Van Brunt St', 'Brooklyn, NY 11231']}",Hometown Bar-B-Que,13472944644.0,$$,4.0,1171,[],
2,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'chickenshop', 'title': 'Chicken Shop'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","{'latitude': 40.68191, 'longitude': -73.95848}",(347) 405-5300,False,"{'address1': '549 Classon Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11216', 'country': 'US', 'state': 'NY', 'display_address': ['549 Classon Ave', 'Brooklyn, NY 11216']}",The Fly,13474055300.0,,4.0,3,[],
3,"[{'alias': 'steak', 'title': 'Steakhouses'}]","{'latitude': 40.709945, 'longitude': -73.962478}",(718) 387-7400,False,"{'address1': '178 Broadway', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11211', 'country': 'US', 'state': 'NY', 'display_address': ['178 Broadway', 'Brooklyn, NY 11211']}",Peter Luger,17183877400.0,$$$$,4.0,5243,[],
4,"[{'alias': 'pizza', 'title': 'Pizza'}]","{'latitude': 40.7026153030093, 'longitude': -73.9934159993549}",(718) 596-6700,False,"{'address1': '19 Old Fulton St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['19 Old Fulton St', 'Brooklyn, NY 11201']}",Juliana's Pizza,17185966700.0,$$,4.5,1910,[],
5,"[{'alias': 'cajun', 'title': 'Cajun/Creole'}, {'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'soulfood', 'title': 'Soul Food'}]","{'latitude': 40.693866, 'longitude': -73.964535}",(718) 783-1936,False,"{'address1': '509 Myrtle Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11205', 'country': 'US', 'state': 'NY', 'display_address': ['509 Myrtle Ave', 'Brooklyn, NY 11205']}",Soco,17187831936.0,$$,4.0,1943,['pickup'],
6,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'gluten_free', 'title': 'Gluten-Free'}, {'alias': 'salad', 'title': 'Salad'}]","{'latitude': 40.6662419, 'longitude': -73.985749}",(718) 499-2132,False,"{'address1': '492 6th Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11215', 'country': 'US', 'state': 'NY', 'display_address': ['492 6th Ave', 'Brooklyn, NY 11215']}",Mariella,17184992132.0,$$,4.5,292,['pickup'],
7,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'bars', 'title': 'Bars'}]","{'latitude': 40.709227, 'longitude': -73.958598}",(347) 725-3017,False,"{'address1': '270 South 5th St', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11211', 'country': 'US', 'state': 'NY', 'display_address': ['270 South 5th St', 'Brooklyn, NY 11211']}",Silver Factory,13477253017.0,$$,4.5,142,"['pickup', 'restaurant_reservation', 'delivery']",
8,"[{'alias': 'french', 'title': 'French'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'seafood', 'title': 'Seafood'}]","{'latitude': 40.7032458, 'longitude': -73.9258954}",(929) 234-2941,False,"{'address1': '221 Knickerbocker Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11237', 'country': 'US', 'state': 'NY', 'display_address': ['221 Knickerbocker Ave', 'Brooklyn, NY 11237']}",Mominette,19292342941.0,$$,4.0,581,"['pickup', 'restaurant_reservation']",
9,"[{'alias': 'southern', 'title': 'Southern'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'bars', 'title': 'Bars'}]","{'latitude': 40.6833699737169, 'longitude': -73.9437798410654}",(718) 483-9111,False,"{'address1': '415 Tompkins Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11216', 'country': 'US', 'state': 'NY', 'display_address': ['415 Tompkins Ave', 'Brooklyn, NY 11216']}",Peaches HotHouse,17184839111.0,$$,4.0,1030,"['pickup', 'delivery']",
10,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","{'latitude': 40.67792, 'longitude': -73.97975}",(718) 230-1835,False,"{'address1': '162 5th Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11217', 'country': 'US', 'state': 'NY', 'display_address': ['162 5th Ave', 'Brooklyn, NY 11217']}",Bricolage,17182301835.0,$$,4.0,402,['restaurant_reservation'],
11,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'steak', 'title': 'Steakhouses'}]","{'latitude': 40.71453, 'longitude': -73.9613511}",(718) 782-2087,False,"{'address1': '171 Grand St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11249', 'country': 'US', 'state': 'NY', 'display_address': ['171 Grand St', 'Brooklyn, NY 11249']}",Salt + Charcoal,17187822087.0,$$,4.0,329,"['pickup', 'restaurant_reservation', 'delivery']",
12,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 40.675919, 'longitude': -73.999059}",(718) 852-8490,False,"{'address1': '524 Court St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11231', 'country': 'US', 'state': 'NY', 'display_address': ['524 Court St', 'Brooklyn, NY 11231']}",Buttermilk Channel,17188528490.0,$$,4.0,1802,['pickup'],
13,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","{'latitude': 40.7332033928175, 'longitude': -73.9549667724914}",(929) 236-1883,False,"{'address1': '999 Manhattan Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11222', 'country': 'US', 'state': 'NY', 'display_address': ['999 Manhattan Ave', 'Brooklyn, NY 11222']}",Esme,19292361883.0,$$,4.5,299,"['pickup', 'delivery']",
14,"[{'alias': 'moroccan', 'title': 'Moroccan'}]","{'latitude': 40.719747, 'longitude': -73.959993}",(718) 486-9222,False,"{'address1': '133 Wythe Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11211', 'country': 'US', 'state': 'NY', 'display_address': ['133 Wythe Ave', 'Brooklyn, NY 11211']}",Cafe Mogador,17184869222.0,$$,4.5,1057,['delivery'],
15,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","{'latitude': 40.68803, 'longitude': -73.98671}",(718) 855-5574,False,"{'address1': '81 Hoyt St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11211', 'country': 'US', 'state': 'NY', 'display_address': ['81 Hoyt St', 'Brooklyn, NY 11211']}",Bijan's,17188555574.0,$$,4.0,467,"['pickup', 'restaurant_reservation', 'delivery']",
