category1,category2,category3,category4,alcohol,ambience,noise_level,phone,is_closed,name,yelp_url,url,price,rating,review_count,first_review_rating,first_review_date,transactions,transactions2,transactions3,hot_and_new,latitude,longitude,address1,address2,address3,city,zip_code,country,state
American (Traditional) ,Gastropubs,,,Full Bar,Casual,Average,(718) 451-3825,FALSE,Uglyduckling,https://www.yelp.com/biz/uglyduckling-brooklyn?osq=Restaurants,uglyduckling-bk.com,$$,4,428,5,7/13/2014,pickup, restaurant_reservation, delivery,no,40.686023,-73.991302,166 Smith St,,,Brooklyn,11201,US,NY
Barbeque ,Smokehouse,,,Full Bar,Casual,Loud,(347) 294-4644,FALSE,Hometown Bar-B-Que,https://www.yelp.com/biz/hometown-bar-b-que-brooklyn-3?osq=Restaurants,hometownbarbque.com,$$,4,1171,5,8/11/2013,pickup,,,no,40.67489657,-74.01604897,454 Van Brunt St,,,Brooklyn,11231,US,NY
Steakhouses,,,,Full Bar,,Average,(718) 387-7400,FALSE,Peter Luger,https://www.yelp.com/biz/peter-luger-brooklyn-2?osq=Restaurants,peterluger.com,$$$$,4,5243,5,4/26/2005,,reservations,,no,40.709945,-73.962478,178 Broadway,,,Brooklyn,11211,US,NY
Pizza,,,,Beer & Wine Only,Casual,Average,(718) 596-6700,FALSE,Juliana's Pizza,https://www.yelp.com/biz/julianas-pizza-brooklyn-5?osq=Restaurants,julianaspizza.com,$$,4.5,1910,5,12/13/2012,pickup,,,no,40.7026153,-73.993416,19 Old Fulton St,,,Brooklyn,11201,US,NY
Cajun/Creole ,Barbeque,SoulFood,,Full Bar,"Casual, Trendy",Average,(718) 783-1936,FALSE,Soco,https://www.yelp.com/biz/soco-brooklyn?osq=Restaurants,socobk.com,$$,4,1943,5,6/19/2011,pickup,restaurant_reservation,,no,40.693866,-73.964535,509 Myrtle Ave,,,Brooklyn,11205,US,NY
Italian ,Gluten-Free,Salad,,Beer & Wine Only,"Casual, Intimate, Romantic",Average,(718) 499-2132,FALSE,Mariella,https://www.yelp.com/biz/mariella-brooklyn?osq=Restaurants,mariellaslope.com,$$,4.5,292,4,7/19/2013,pickup,restaurant_reservation,delivery,no,40.6662419,-73.985749,492 6th Ave,,,Brooklyn,11215,US,NY
Korean ,Bars,,,Full Bar,Casual,Average,(347) 725-3017,FALSE,Silver Factory,https://www.yelp.com/biz/silver-factory-brooklyn?osq=Restaurants,silverfactorynyc.com,$$,4.5,142,5,12/27/2017,pickup, restaurant_reservation, delivery,no,40.709227,-73.958598,270 South 5th St,,,Brooklyn,11211,US,NY
Southern ,American (Traditional),Bars,,Full Bar,Casual,Average,(718) 483-9111,FALSE,Peaches HotHouse,https://www.yelp.com/biz/peaches-hothouse-brooklyn?osq=Restaurants,peacheshothouse.com,$$,4,1030,5,3/16/2010,pickup,, delivery ,no,40.68336997,-73.94377984,415 Tompkins Ave,,,Brooklyn,11216,US,NY
Japanese ,Asian Fusion,Steakhouses,,Full Bar,Trendy,Average,(718) 782-2087,FALSE,Salt + Charcoal,https://www.yelp.com/biz/salt-charcoal-brooklyn?osq=Restaurants,saltandcharcoal.com,$$,4,329,5,10/25/2014,pickup, restaurant_reservation, delivery,no,40.71453,-73.9613511,171 Grand St,,,Brooklyn,11249,US,NY
American (New) ,Breakfast & Brunch,,,Full Bar,Casual,Average,(718) 852-8490,FALSE,Buttermilk Channel,https://www.yelp.com/biz/buttermilk-channel-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,buttermilkchannelnyc.com,$$,4,1802,4,11/29/2008,,restaurant_reservation,,no,40.675919,-73.999059,524 Court St,,,Brooklyn,11231,US,NY
American (New) ,Cocktail Bars,,,Full Bar,Casual,Average,(929) 236-1883,FALSE,Esme,https://www.yelp.com/biz/esme-brooklyn-2?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,esmebk.com,$$,4.5,299,5,9/16/2014,pickup,, delivery ,no,40.73320339,-73.95496677,999 Manhattan Ave,,,Brooklyn,11222,US,NY
Moroccan,,,,Full Bar,Casual,Average,(718) 486-9222,FALSE,Cafe Mogador,https://www.yelp.com/biz/cafe-mogador-brooklyn?osq=Restaurants,cafemogador.com/williamsburg,$$,4.5,1057,5,3/29/2012,pickup,restaurant_reservation,delivery,no,40.719747,-73.959993,133 Wythe Ave,,,Brooklyn,11211,US,NY
American (New) ,Cocktail Bars,,,Full Bar,Casual,Average,(718) 855-5574,FALSE,Bijan's,https://www.yelp.com/biz/bijans-brooklyn-2?osq=Restaurants,bijansbrooklyn.com,$$,4,467,5,10/27/2011,pickup, restaurant_reservation,,no,40.68803,-73.98671,81 Hoyt St,,,Brooklyn,11211,US,NY
