web-scraper-order,web-scraper-start-url,links,links-href,Name,Categories,Address,Phone,URL,Neighborhood,Review#,DeliveryFee,DeliveryMin,HealthScore,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Veg,Reservation,Delivery,Take,Credit_Card,App;e_pay,GoodFor,CarParking,bike,Wheelchair,Kids,Groups,Attire,Ambience,Noise,Alcohol,Outdoor,WiFI,TV_,Waiter,Caters,Gender,RecentStar,RecentReviewDate,RecentReview,FirstReview,FirstReviewDate,FirstReviewText,pages,pages-href
"1551926614-12573","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY&ns=1","Hometown Bar-B-Que","https://www.yelp.com/biz/hometown-bar-b-que-brooklyn-3?osq=Restaurants","Hometown
        
            Bar-B-Que
            
                                                
        
    
        
    
Claimed
    


                        
        
            This business has been claimed by the owner or a representative.
                Learn more","Barbeque","454 Van Brunt St
Brooklyn, NY 11231","(347) 294-4644","hometownbarbque.com","Red Hook","1169 reviews","null","null","B","Closed","12:00 pm - 10:00 pm","12:00 pm - 10:00 pm","12:00 pm - 10:00 pm","12:00 pm - 11:00 pm","12:00 pm - 11:00 pm","12:00 pm - 11:00 pm","Takes Reservations
                            
                            
                                No","Delivery
                            
                            
                                No","Take-out
                            
                            
                                Yes","Accepts Credit Cards
                            
                            
                                Yes","Accepts Apple Pay
                            
                            
                                No","Accepts Google Pay
                            
                            
                                No","Good For
                            
                            
                                Lunch, Dinner","Parking
                            
                            
                                Street","Bike Parking
                            
                            
                                Yes","Good for Kids
                            
                            
                                Yes","Good for Groups
                            
                            
                                Yes","Attire
                            
                            
                                Casual","Ambience
                            
                            
                                Casual","Noise Level
                            
                            
                                Average","Alcohol
                            
                            
                                Full Bar","Outdoor Seating
                            
                            
                                No","Wi-Fi
                            
                            
                                No","Has TV
                            
                            
                                Yes","Dogs Allowed
                            
                            
                                No","Waiter Service
                            
                            
                                No","Caters
                            
                            
                                Yes","Gender Neutral Restrooms
                            
                            
                                Yes","","2/12/2019","Two words: Lamb belly. Get it. Love it.

Everything here is good. You can't really go wrong. Their brisket can be a little dry sometimes if you don't get the fattiest cut. Their mac and cheese is regular and bland. But everything else is on point. Love the coleslaw. Love the beans. 

Truly fulfills any BBQ craving.","","2/12/2019","Two words: Lamb belly. Get it. Love it.

Everything here is good. You can't really go wrong. Their brisket can be a little dry sometimes if you don't get the fattiest cut. Their mac and cheese is regular and bland. But everything else is on point. Love the coleslaw. Love the beans. 

Truly fulfills any BBQ craving.","",""
"1551926634-12578","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY&ns=1","El Mate","https://www.yelp.com/biz/el-mate-brooklyn?osq=Restaurants","El
        
            Mate
            
                                                
        
    
        
    
Claimed
    


                        
        
            This business has been claimed by the owner or a representative.
                Learn more","Brazilian","550 Court St
Brooklyn, NY 11231","(718) 222-1102","null","Carroll Gardens","264 reviews","null","null","A","Closed","5:00 pm - 11:00 pm","5:00 pm - 11:00 pm","5:00 pm - 11:00 pm","5:00 pm - 11:00 pm","4:00 pm - 11:00 pm","12:00 pm - 10:00 pm","Liked by Vegetarians
                        
                        
                            Yes","Takes Reservations
                            
                            
                                Yes","Delivery
                            
                            
                                Yes","Take-out
                            
                            
                                Yes","Accepts Credit Cards
                            
                            
                                Yes","Accepts Apple Pay
                            
                            
                                Yes","Accepts Cryptocurrency
                            
                            
                                No","Good For
                            
                            
                                Brunch, Dinner","Parking
                            
                            
                                Street","Bike Parking
                            
                            
                                No","Wheelchair Accessible
                            
                            
                                Yes","Good for Kids
                            
                            
                                Yes","Good for Groups
                            
                            
                                Yes","Attire
                            
                            
                                Casual","Ambience
                            
                            
                                Casual, Intimate, Romantic","Noise Level
                            
                            
                                Average","Alcohol
                            
                            
                                Full Bar","Good For Happy Hour
                            
                            
                                Yes","Outdoor Seating
                            
                            
                                Yes","Wi-Fi
                            
                            
                                Free","Has TV
                            
                            
                                Yes","Dogs Allowed
                            
                            
                                No","null","2/10/2019","I was about to go to Libertador, but when my brother and I told the waiter ""we have reservations,"" the waiter abruptly said, ""Everybody has reservations at this time!"" and walked away.  To his credit, he did say after the second request, ""Look, if a table opens up, I'll take care of you"" and smiled, BUT...  this was 15 minutes after my first request which left me standing in front of the restaurant unattended.

Then I called El Mate.  The person on the phone used words like ""please"" and ""thank you,"" unlike the waiters where I currently stood.  When I got to El Mate, my table was before me with a ""Reserved"" sign.

Walter, the waiter, stated his recommendations.

The Empanadas were ok - I'm not a fan of deep fried empanadas though.  I prefer them baked.

The rice and beans were typical.

The short ribs, skirt steak, Mashed YUCCA, were out of this world.  

The service was EXCEPTIONAL.

This place would have gotten five stars if I liked the way the empanadas were cooked more.

Great night with great food and great service.","","2/10/2019","I was about to go to Libertador, but when my brother and I told the waiter ""we have reservations,"" the waiter abruptly said, ""Everybody has reservations at this time!"" and walked away.  To his credit, he did say after the second request, ""Look, if a table opens up, I'll take care of you"" and smiled, BUT...  this was 15 minutes after my first request which left me standing in front of the restaurant unattended.

Then I called El Mate.  The person on the phone used words like ""please"" and ""thank you,"" unlike the waiters where I currently stood.  When I got to El Mate, my table was before me with a ""Reserved"" sign.

Walter, the waiter, stated his recommendations.

The Empanadas were ok - I'm not a fan of deep fried empanadas though.  I prefer them baked.

The rice and beans were typical.

The short ribs, skirt steak, Mashed YUCCA, were out of this world.  

The service was EXCEPTIONAL.

This place would have gotten five stars if I liked the way the empanadas were cooked more.

Great night with great food and great service.","",""
"1551926555-12558","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY&ns=1","Modern Love Brooklyn","https://www.yelp.com/biz/modern-love-brooklyn-brooklyn-2?osq=Restaurants","null","Salad","317 Union Ave
Brooklyn, NY 11211","(929) 298-0626","modernlovebrooklyn.com","Williamsburg - South Side","377 reviews","null","null","A","Closed","5:30 pm - 10:00 pm","5:30 pm - 10:00 pm","5:30 pm - 10:00 pm","5:30 pm - 11:00 pm","10:00 am - 3:00 pm
5:00 pm - 11:00 pm","10:00 am - 3:00 pm
5:00 pm - 10:00 pm","Liked by Vegans
                        
                        
                            Yes","Liked by Vegetarians
                        
                        
                            Yes","Takes Reservations
                            
                            
                                Yes","Delivery
                            
                            
                                Yes","Take-out
                            
                            
                                Yes","Accepts Credit Cards
                            
                            
                                Yes","Accepts Apple Pay
                            
                            
                                No","Accepts Cryptocurrency
                            
                            
                                No","Good For
                            
                            
                                Dinner, Dessert","Parking
                            
                            
                                Street","Bike Parking
                            
                            
                                No","Wheelchair Accessible
                            
                            
                                Yes","Good for Kids
                            
                            
                                Yes","Good for Groups
                            
                            
                                Yes","Attire
                            
                            
                                Casual","Ambience
                            
                            
                                Casual, Trendy","Noise Level
                            
                            
                                Average","Good For Dancing
                            
                            
                                No","Alcohol
                            
                            
                                Beer & Wine Only","Best Nights
                            
                            
                                Tue, Wed, Fri","Coat Check
                            
                            
                                No","Smoking
                            
                            
                                No","","2/20/2019","Oh where to begin!

We went to New York for [only] 2 days to celebrate my birthday. 

My husband and I are vegan; my sister and her husband are not but were open to anywhere we wanted to eat for my birthday. Yay!

I chose Modern Love Brooklyn based off their yummy looking gluten-free options. We arrived around 6:30pm on a Sunday evening, unknowing, reservations needed to be made! They were booked till 9pm! Rosalie, the hostess, mentioned she may have 4 seats at the bar in an hour. 

We decided to wait as we were at a loss because I am limited on my vegan/GF options and was really hoping for a good restaurant to enjoy my birthday dinner at. We were staying in LIC and had already spent the day in Times Square so going all the way back there just seemed wasteful. We decided the bar and an hour wait would have to do and felt grateful for even getting the opportunity to still eat there.

Within half an hour, Rosalie's beautiful face came up to us with a proposition that she had a table she could put us at but we would only have about an hour. We graciously and excitedly accepted!

The food was spectacular. We loved everything. My sister said she could easily go vegan with food like this! [Big win in the vegan world]. My-loves-meat-brother-in-law was very impressed and happy with the food. He and my sister said the mozzarella sticks were the best they have ever had! The ""Hen of the Woods Piccata"" was absolutely delicious and we all enjoyed the ""Chorizo Nachos"". The truffled poutine was only okay. 

Our waiter was Can; he was really nice and helpful when we chose dessert. I needed gluten-free so only had a couple of options; he suggested the Almond Joy Pie. 
Oh my. That pie.
It was divine. We all loved it and I really was sad I had to share most of it with my husband. Can was sweet and brought it to me with a lit birthday candle so I was able to make a birthday wish and all. :]

Big thanks to Rosalie for going above and beyond to seat us. She is a gem and I appreciate her professionalism and kindness.","","2/20/2019","Oh where to begin!

We went to New York for [only] 2 days to celebrate my birthday. 

My husband and I are vegan; my sister and her husband are not but were open to anywhere we wanted to eat for my birthday. Yay!

I chose Modern Love Brooklyn based off their yummy looking gluten-free options. We arrived around 6:30pm on a Sunday evening, unknowing, reservations needed to be made! They were booked till 9pm! Rosalie, the hostess, mentioned she may have 4 seats at the bar in an hour. 

We decided to wait as we were at a loss because I am limited on my vegan/GF options and was really hoping for a good restaurant to enjoy my birthday dinner at. We were staying in LIC and had already spent the day in Times Square so going all the way back there just seemed wasteful. We decided the bar and an hour wait would have to do and felt grateful for even getting the opportunity to still eat there.

Within half an hour, Rosalie's beautiful face came up to us with a proposition that she had a table she could put us at but we would only have about an hour. We graciously and excitedly accepted!

The food was spectacular. We loved everything. My sister said she could easily go vegan with food like this! [Big win in the vegan world]. My-loves-meat-brother-in-law was very impressed and happy with the food. He and my sister said the mozzarella sticks were the best they have ever had! The ""Hen of the Woods Piccata"" was absolutely delicious and we all enjoyed the ""Chorizo Nachos"". The truffled poutine was only okay. 

Our waiter was Can; he was really nice and helpful when we chose dessert. I needed gluten-free so only had a couple of options; he suggested the Almond Joy Pie. 
Oh my. That pie.
It was divine. We all loved it and I really was sad I had to share most of it with my husband. Can was sweet and brought it to me with a lit birthday candle so I was able to make a birthday wish and all. :]

Big thanks to Rosalie for going above and beyond to seat us. She is a gem and I appreciate her professionalism and kindness.","",""
"1551926558-12559","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY&ns=1","Bogota Latin Bistro","https://www.yelp.com/biz/bogota-latin-bistro-brooklyn?osq=Restaurants","Bogota Latin
        
            Bistro
            
                                                
        
    
        
    
Claimed
    


                        
        
            This business has been claimed by the owner or a representative.
                Learn more","Gluten-Free","141 5th Ave
Brooklyn, NY 11217","(718) 230-3805","bogotabistro.com","Park Slope","2034 reviews","Fee
                    $2+","Delivery Min
                    $20","A","11:00 am - 11:00 pm","11:00 am - 11:00 pm","11:00 am - 11:00 pm","11:00 am - 11:00 pm","11:00 am - 1:00 am","10:00 am - 1:00 am","10:00 am - 11:00 pm","Liked by Vegans
                        
                        
                            Yes","Happy Hour Specials
                        
                        
                            Yes","Liked by Vegetarians
                        
                        
                            Yes","Takes Reservations
                            
                            
                                Yes","Delivery
                            
                            
                                Yes","Take-out
                            
                            
                                Yes","Accepts Credit Cards
                            
                            
                                Yes","Accepts Apple Pay
                            
                            
                                No","Accepts Google Pay
                            
                            
                                Yes","Good For
                            
                            
                                Dinner","Parking
                            
                            
                                Street","Bike Parking
                            
                            
                                Yes","Good for Kids
                            
                            
                                Yes","Good for Groups
                            
                            
                                Yes","Ambience
                            
                            
                                Casual","Noise Level
                            
                            
                                Average","Alcohol
                            
                            
                                Full Bar","Good For Happy Hour
                            
                            
                                Yes","Outdoor Seating
                            
                            
                                No","Wi-Fi
                            
                            
                                Free","Has TV
                            
                            
                                Yes","Caters
                            
                            
                                Yes","null","2/11/2019","I still DREAM of this place, that's how good it was.

I eat here every time I visit New York. Their guava empanadas are the besstttt! Their food is delicious and their drinks hit the spot. I recommend it to everyone I know!

My only negative thing is that it is so FAR from the West Coast. Can you open up a location in California? Maybe? I'll be there every week. Si? Okay. Thanks!","","2/11/2019","I still DREAM of this place, that's how good it was.

I eat here every time I visit New York. Their guava empanadas are the besstttt! Their food is delicious and their drinks hit the spot. I recommend it to everyone I know!

My only negative thing is that it is so FAR from the West Coast. Can you open up a location in California? Maybe? I'll be there every week. Si? Okay. Thanks!","",""
"1551926570-12562","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY&ns=1","Seed","https://www.yelp.com/biz/seed-brooklyn-3?osq=Restaurants","Seed
            
                                                
        
    
        
    
Claimed
    


                        
        
            This business has been claimed by the owner or a representative.
                Learn more","Mediterranean","242 5th Ave
Brooklyn, NY 11215","(929) 295-9031","seedbrooklyn.com","Park Slope","178 reviews","null","null","A","5:00 pm - 10:00 pm","Closed","12:00 pm - 10:00 pm","12:00 pm - 10:00 pm","12:00 pm - 10:30 pm","12:00 pm - 3:30 pm
6:00 pm - 10:30 pm","12:00 pm - 3:30 pm
5:00 pm - 9:00 pm","Liked by Vegans
                        
                        
                            Yes","Liked by Vegetarians
                        
                        
                            Yes","Takes Reservations
                            
                            
                                Yes","Delivery
                            
                            
                                Yes","Take-out
                            
                            
                                Yes","Accepts Credit Cards
                            
                            
                                Yes","Accepts Apple Pay
                            
                            
                                No","Accepts Google Pay
                            
                            
                                No","Good For
                            
                            
                                Lunch, Dinner","Parking
                            
                            
                                Street","Bike Parking
                            
                            
                                Yes","Wheelchair Accessible
                            
                            
                                No","Good for Kids
                            
                            
                                Yes","Good for Groups
                            
                            
                                Yes","Attire
                            
                            
                                Casual","Ambience
                            
                            
                                Casual","Noise Level
                            
                            
                                Average","Alcohol
                            
                            
                                Beer & Wine Only","Outdoor Seating
                            
                            
                                Yes","Wi-Fi
                            
                            
                                Free","Has TV
                            
                            
                                No","Waiter Service
                            
                            
                                Yes","","11/20/2018","One of the best meals I've had in the last month. We were looking for a unique restaurant in Brooklyn to enjoy a nice dinner before a show, and we weren't disappointed!!

They allow you to BYOB but charge $10 corking fee per bottle-a little steep, but MUCH cheaper versus dipping into their wine selection (I believe the cheapest red was ~45/bottle). The food was INCREDIBLE - probably the best grape leaves I've ever had. Sour, but fresh, and I could have eaten at least 10. The lamb shank was beautifully presented, and cooked to perfection. It was savory and almost falling off the bone. All of my dinner companions had similar feedback, and this restaurant is going on one of our

Everything about this place contributes to its authenticity. All our dishes looked like they were from someone's china cabinet - lovely, with flowers, and it made the whole meal feel more personal. Not sure if this is on purpose or not, but I loved it. Service is a little interesting - I took some of the initial aloofness as contributing to the authenticity, but can see why some yelpers get irritated. That said, as the food started coming and we got to speaking with the staff, they began to warm-up. This is TRULY some of the best Turkish food I've had in the US, and they take the compliments to heart. By the end, they were laughing with us.

Tiny restaurant inside - I would recommend making a reservation if you're going for dinner on a weekend. However, it's well worth it. I can't wait to be back in Brooklyn so I can head back to Seed!","","11/20/2018","One of the best meals I've had in the last month. We were looking for a unique restaurant in Brooklyn to enjoy a nice dinner before a show, and we weren't disappointed!!

They allow you to BYOB but charge $10 corking fee per bottle-a little steep, but MUCH cheaper versus dipping into their wine selection (I believe the cheapest red was ~45/bottle). The food was INCREDIBLE - probably the best grape leaves I've ever had. Sour, but fresh, and I could have eaten at least 10. The lamb shank was beautifully presented, and cooked to perfection. It was savory and almost falling off the bone. All of my dinner companions had similar feedback, and this restaurant is going on one of our

Everything about this place contributes to its authenticity. All our dishes looked like they were from someone's china cabinet - lovely, with flowers, and it made the whole meal feel more personal. Not sure if this is on purpose or not, but I loved it. Service is a little interesting - I took some of the initial aloofness as contributing to the authenticity, but can see why some yelpers get irritated. That said, as the food started coming and we got to speaking with the staff, they began to warm-up. This is TRULY some of the best Turkish food I've had in the US, and they take the compliments to heart. By the end, they were laughing with us.

Tiny restaurant inside - I would recommend making a reservation if you're going for dinner on a weekend. However, it's well worth it. I can't wait to be back in Brooklyn so I can head back to Seed!","",""
"1551926611-12572","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY&ns=1","Mominette","https://www.yelp.com/biz/mominette-brooklyn?osq=Restaurants","Mominette
            
                                                
        
    
        
    
Claimed
    


                        
        
            This business has been claimed by the owner or a representative.
                Learn more","French","221 Knickerbocker Ave
Brooklyn, NY 11237","(929) 234-2941","mominette.com","Bushwick","580 reviews","null","null","A","12:00 pm - 10:30 pm","12:00 pm - 10:30 pm","12:00 pm - 10:30 pm","12:00 pm - 10:30 pm","12:00 pm - 11:30 pm","24","31","Liked by Vegans
                        
                        
                            Yes","Liked by Vegetarians
                        
                        
                            Yes","Takes Reservations
                            
                            
                                Yes","Delivery
                            
                            
                                Yes","Take-out
                            
                            
                                Yes","Accepts Credit Cards
                            
                            
                                Yes","Accepts Apple Pay
                            
                            
                                No","Accepts Google Pay
                            
                            
                                No","Accepts Cryptocurrency
                            
                            
                                No","Good For
                            
                            
                                Brunch","Parking
                            
                            
                                Street","Bike Parking
                            
                            
                                Yes","Good for Kids
                            
                            
                                No","Good for Groups
                            
                            
                                Yes","Attire
                            
                            
                                Casual","Ambience
                            
                            
                                Romantic","Noise Level
                            
                            
                                Average","Good For Dancing
                            
                            
                                No","Alcohol
                            
                            
                                Full Bar","Best Nights
                            
                            
                                Fri, Sat, Sun","Outdoor Seating
                            
                            
                                Yes","Wi-Fi
                            
                            
                                Free","","1/6/2019","This place is pretty chić and has a great backyard. Love their escargot and ratatouille. I'd also recommend their Lamb Chops.

PS: they have great oyster happy hour options.","","1/6/2019","This place is pretty chić and has a great backyard. Love their escargot and ratatouille. I'd also recommend their Lamb Chops.

PS: they have great oyster happy hour options.","",""
"1551926603-12570","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY&ns=1","Soco","https://www.yelp.com/biz/soco-brooklyn?osq=Restaurants","Soco
            
                                                
        
    
        
    
Claimed
    


                        
        
            This business has been claimed by the owner or a representative.
                Learn more","Cajun/Creole","509 Myrtle Ave
Brooklyn, NY 11205","(718) 783-1936","socobk.com","Clinton Hill","1943 reviews","null","null","A","Closed","12:00 pm - 3:30 pm
5:00 pm - 10:30 pm","12:00 pm - 3:30 pm
5:00 pm - 10:30 pm","12:00 pm - 3:30 pm
5:00 pm - 10:30 pm","12:00 pm - 3:30 pm
5:00 pm - 11:30 pm","12:00 pm - 3:30 pm
6:00 pm - 11:30 pm","12:00 pm - 9:30 pm","Happy Hour Specials
                        
                        
                            Yes","Liked by Vegetarians
                        
                        
                            Yes","Takes Reservations
                            
                            
                                Yes","Delivery
                            
                            
                                No","Take-out
                            
                            
                                Yes","Accepts Credit Cards
                            
                            
                                Yes","Accepts Apple Pay
                            
                            
                                No","Accepts Google Pay
                            
                            
                                No","Good For
                            
                            
                                Brunch, Dinner","Parking
                            
                            
                                Street","Bike Parking
                            
                            
                                Yes","Good for Kids
                            
                            
                                Yes","Good for Groups
                            
                            
                                Yes","Attire
                            
                            
                                Casual","Ambience
                            
                            
                                Casual, Trendy","Noise Level
                            
                            
                                Average","Alcohol
                            
                            
                                Full Bar","Good For Happy Hour
                            
                            
                                Yes","Outdoor Seating
                            
                            
                                Yes","Wi-Fi
                            
                            
                                Free","Has TV
                            
                            
                                Yes","Dogs Allowed
                            
                            
                                No","","3/6/2019","This is THE place Southern Comfort food!

Two of us went for dinner and we ordered dinner for three because we could not decide which yummy entree to order! Plus two appetizers!

We started with the Mac and cheese and could not put down our spoons! We also had Jalapeno Hush Puppies as the other appetizer.

For entrees, we had Fried Chicken on Red Velvet waffles, Jambalaya, and BBQ brisket. OMG! Incredible! All three were so delicious I could not say one was better than the others! Get all three! We did!

All the service was top-notch and very attentive. We were here early Wednesday night but they seem like they'd be great any night.

I'm so glad that I have a place to go to for Southern food in New York!","","3/6/2019","This is THE place Southern Comfort food!

Two of us went for dinner and we ordered dinner for three because we could not decide which yummy entree to order! Plus two appetizers!

We started with the Mac and cheese and could not put down our spoons! We also had Jalapeno Hush Puppies as the other appetizer.

For entrees, we had Fried Chicken on Red Velvet waffles, Jambalaya, and BBQ brisket. OMG! Incredible! All three were so delicious I could not say one was better than the others! Get all three! We did!

All the service was top-notch and very attentive. We were here early Wednesday night but they seem like they'd be great any night.

I'm so glad that I have a place to go to for Southern food in New York!","",""
"1551926552-12557","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY&ns=1","Esme","https://www.yelp.com/biz/esme-brooklyn-2?osq=Restaurants","Esme
            
                                                
        
    
        
    
Claimed
    


                        
        
            This business has been claimed by the owner or a representative.
                Learn more","American (New)","999 Manhattan Ave
Brooklyn, NY 11222","(929) 236-1883","esmebk.com","Greenpoint","299 reviews","Fee
                    Free Delivery","Delivery Min
                    $10","A","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 11:00 pm","11:00 am - 11:00 pm","11:00 am - 10:00 pm","Liked by Vegetarians
                        
                        
                            Yes","Takes Reservations
                            
                            
                                Yes","Delivery
                            
                            
                                Yes","Take-out
                            
                            
                                Yes","Accepts Credit Cards
                            
                            
                                Yes","Accepts Apple Pay
                            
                            
                                No","Accepts Cryptocurrency
                            
                            
                                No","Good For
                            
                            
                                Brunch","Parking
                            
                            
                                Street","Bike Parking
                            
                            
                                Yes","Wheelchair Accessible
                            
                            
                                Yes","Good for Kids
                            
                            
                                No","Good for Groups
                            
                            
                                Yes","Attire
                            
                            
                                Casual","Ambience
                            
                            
                                Casual","Noise Level
                            
                            
                                Average","Good For Dancing
                            
                            
                                No","Alcohol
                            
                            
                                Full Bar","Good For Happy Hour
                            
                            
                                Yes","Best Nights
                            
                            
                                Fri, Sat, Sun","Coat Check
                            
                            
                                Yes","Smoking
                            
                            
                                No","null","2/23/2019","TL;DR: I love love love their vegetarian options at brunch and there are so many. Also so reasonably priced and never a wait. My favorite spot to go in GP.

My SO loves 5 mins from here and I'm always clamoring to go. We've been for brunch and dinner and never have trouble getting a spot in less than 30 mins. I always get the 2 eggs breakfast but am excited to try other things (chia pudding, granola, etc.)

Things I like:
2 eggs + veggie sausage. After I had this, I tried out multiple veggie sausages to replicate theirs. I they use the Morningstar Farms veggie sausage but I'm not 100% sure.
Pancakes: fluffy and tasty.
Mussels: Only at dinner. Mussels are hard to get wrong, but their sauce is quite flavorful

Just ok:
Veggie burger. Fine, but has a lot of lentils that make the texture a bit off.
Parmesan French toast. All the sauce makes it a bit soggy.","","2/23/2019","TL;DR: I love love love their vegetarian options at brunch and there are so many. Also so reasonably priced and never a wait. My favorite spot to go in GP.

My SO loves 5 mins from here and I'm always clamoring to go. We've been for brunch and dinner and never have trouble getting a spot in less than 30 mins. I always get the 2 eggs breakfast but am excited to try other things (chia pudding, granola, etc.)

Things I like:
2 eggs + veggie sausage. After I had this, I tried out multiple veggie sausages to replicate theirs. I they use the Morningstar Farms veggie sausage but I'm not 100% sure.
Pancakes: fluffy and tasty.
Mussels: Only at dinner. Mussels are hard to get wrong, but their sauce is quite flavorful

Just ok:
Veggie burger. Fine, but has a lot of lentils that make the texture a bit off.
Parmesan French toast. All the sauce makes it a bit soggy.","",""
"1551926566-12561","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY&ns=1","Cafe Mogador","https://www.yelp.com/biz/cafe-mogador-brooklyn?osq=Restaurants","Cafe
        
            Mogador
            
                                                
        
    
        
    
Claimed
    


                        
        
            This business has been claimed by the owner or a representative.
                Learn more","Moroccan","133 Wythe Ave
Brooklyn, NY 11211","(718) 486-9222","cafemogador.com/williamsburg","Williamsburg - North Side","1056 reviews","null","null","A","9:00 am - 1:00 am","9:00 am - 1:00 am","9:00 am - 1:00 am","9:00 am - 1:00 am","9:00 am - 2:00 am","9:00 am - 2:00 am","9:00 am - 1:00 am","Liked by Vegetarians
                        
                        
                            Yes","Takes Reservations
                            
                            
                                Yes","Delivery
                            
                            
                                Yes","Take-out
                            
                            
                                Yes","Accepts Credit Cards
                            
                            
                                Yes","Accepts Apple Pay
                            
                            
                                Yes","Accepts Google Pay
                            
                            
                                No","Good For
                            
                            
                                Brunch, Dinner","Parking
                            
                            
                                Street","Bike Parking
                            
                            
                                Yes","Good for Kids
                            
                            
                                Yes","Good for Groups
                            
                            
                                Yes","Attire
                            
                            
                                Casual","Ambience
                            
                            
                                Casual","Noise Level
                            
                            
                                Average","Alcohol
                            
                            
                                Full Bar","Outdoor Seating
                            
                            
                                Yes","Wi-Fi
                            
                            
                                Free","Has TV
                            
                            
                                No","Dogs Allowed
                            
                            
                                No","Waiter Service
                            
                            
                                Yes","Caters
                            
                            
                                No","","2/17/2019","If I could start every morning with one of Cafe Mogador's crispy falafel topped with a dollop of hummus I'd be a much better person. 

I love you.","","2/17/2019","If I could start every morning with one of Cafe Mogador's crispy falafel topped with a dollop of hummus I'd be a much better person. 

I love you.","",""
"1551926585-12566","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY&ns=1","DeStefano’s Steakhouse","https://www.yelp.com/biz/destefanos-steakhouse-brooklyn?osq=Restaurants","null","Steakhouses","89 Conselyea St
Brooklyn, NY 11211","(718) 384-2836","deesteakhouse.com","Williamsburg - North Side","745 reviews","null","null","A","Closed","5:00 pm - 9:30 pm","5:00 pm - 9:30 pm","5:00 pm - 9:30 pm","5:00 pm - 10:00 pm","24","31","Takes Reservations
                            
                            
                                Yes","Delivery
                            
                            
                                No","Take-out
                            
                            
                                Yes","Accepts Credit Cards
                            
                            
                                Yes","Good For
                            
                            
                                Dinner","Parking
                            
                            
                                Street","Bike Parking
                            
                            
                                Yes","Good for Kids
                            
                            
                                Yes","Good for Groups
                            
                            
                                Yes","Attire
                            
                            
                                Casual","Noise Level
                            
                            
                                Average","Alcohol
                            
                            
                                Full Bar","Outdoor Seating
                            
                            
                                No","Wi-Fi
                            
                            
                                No","Has TV
                            
                            
                                No","Caters
                            
                            
                                No","null","null","null","null","null","null","null","2/13/2019
            
                
    
        
    

                Updated review","Ok.  So we were going to do Peter Lugers and we met some locals. Long story short we ended up here with no reservation.   Yea. Go figure. Anywho. We role this way. Me and my pain in the ass girlfriend who only eats shit that cost a lot.  (I feel her eyes cutting me in half right now).  Nonetheless this place is amazing. Bacon was off the chain. Short rib rolls? Wtf is that?! I don't know! But it got eaten. 

The bone in ribeye! I really want to slap someone. It was that good. I want to slap myself actually for allowing my pain in the ass girlfriend talking me out of getting it.  Ribeye was awesome.  Literally awesome. It's hard to say if it was the best ever because I was hungry. So you give a starving man a cracker it's gonna be the best cracker in history.  But it was good.  I know because she ate it all. And left a small amount for me. Women.  Place is bar none best steakhouse i have ever been to. I have been 3 times and every time is better than the last!  #steakcoma","","2/13/2019
            
                
    
        
    

                Updated review","Ok.  So we were going to do Peter Lugers and we met some locals. Long story short we ended up here with no reservation.   Yea. Go figure. Anywho. We role this way. Me and my pain in the ass girlfriend who only eats shit that cost a lot.  (I feel her eyes cutting me in half right now).  Nonetheless this place is amazing. Bacon was off the chain. Short rib rolls? Wtf is that?! I don't know! But it got eaten. 

The bone in ribeye! I really want to slap someone. It was that good. I want to slap myself actually for allowing my pain in the ass girlfriend talking me out of getting it.  Ribeye was awesome.  Literally awesome. It's hard to say if it was the best ever because I was hungry. So you give a starving man a cracker it's gonna be the best cracker in history.  But it was good.  I know because she ate it all. And left a small amount for me. Women.  Place is bar none best steakhouse i have ever been to. I have been 3 times and every time is better than the last!  #steakcoma","",""
